year,outcome,cinc_a,irst_prop_a,irst_raw_a,milex_prop_a,milex_raw_a,milper_prop_a,milper_raw_a,pec_prop_a,pec_raw_a,tpop_prop_a,tpop_raw_a,upop_prop_a,upop_raw_a,cinc_b,irst_prop_b,irst_raw_b,milex_prop_b,milex_raw_b,milper_prop_b,milper_raw_b,pec_prop_b,pec_raw_b,tpop_prop_b,tpop_raw_b,upop_prop_b,upop_raw_b,capratio_a
1904,VictoryB,0.113226,0.07735115635224699,2766,0.1305494208905025,50305,0.20103986135181975,1160,0.04403200239935986,37584,0.1250999430159158,141600,0.10128362933005099,8064,0.1348405,0.14284515786235633,5108,0.15496985724036094,59715,0.0708838821490468,409,0.22351888148591606,190787,0.03764483454737409,42610,0.1791805873043784,14266,0.45643406102799045
1956,VictoryA,0.0492237,0.07505569282590584,20990,0.0467437593371661,4527611,0.036651736261619224,761,0.06689371818065856,232317,0.019818493045060604,51406,0.050178792188974704,18874,4.611e-4,0,0,NA,NA,8.669267446900737e-4,18,4.0311817668496915e-6,14,0.001434552632390587,3721,0,0,0.9907194957008985
1914,VictoryA,0.0315951,0.00482852755502474,283,0.014611282595963452,108347,0.04259548487860287,300,0.020233246930092,24190,0.04267391142123093,52039,0.06462789122229749,6678,0.0921649,9.554683501109026e-4,56,0.009141238712353665,67785,0.06531307681385773,460,0.011869781198219742,14191,0.3735449466442851,455522,NA,NA,0.25529330963154495
1835,VictoryB,0.04852,0.12281530467642891,260,0.039300795443386036,2001,0.006727534839019702,14,0.037096991771212735,1650,0.05208778160835738,15003,0.03309161474823818,324,0.1364132,0.13934813415210204,295,0.2322105469900815,11823,0.13887554060547813,289,0.07378928908673951,3282,0.11547287984362903,33260,0.11878255540802778,1163,0.26236500531002543
1854,VictoryA,0.0803422,0.04296545914069082,255,0.0979069831403504,17799,0.1674937965260546,540,0.01036799944933447,1205,0.10494519059145353,36983,0.0583735657407988,931,0.1369681,0.038921651221566975,231,0.1724909926015567,31358,0.3411910669975186,1100,0.001213184997805942,141,0.20033881663890488,70600,0.06765314439776789,1079,0.3697118820414863
1877,VictoryA,0.2332203,0.488328121591157,6715,0.12359084921531577,25051,0.05542062265400751,251,0.44807345697060313,121069,0.03956336076468426,33576,0.24434518696672966,8534,0.1318926,0.029088793542287834,400,0.3799933890168876,77022,0.18547140649149924,840,0.012142902083279361,3281,0.10864134686990376,92200,0.07601786634598866,2655,0.6387621472700636
1898,VictoryA,0.1574313,0.24901084512254135,8748,0.12892522929063002,38741,0.05824388527186345,331,0.2736515584326016,170616,0.03807150628569705,40381,0.19668489921730983,13017,0.1234668,5.692977711992258e-4,20,0.039828015388096855,11968,0.17596339961288052,1000,0.0011788688953437085,735,0.39979465654468627,424047,NA,NA,0.5604569771030847
1905,VictoryA,0.0623629,0.05115466630370673,2255,0.08092814532994806,41947,0.08829337094499294,626,0.053161175127809344,48114,0.034357999491901076,39220,0.06628207000632881,5446,7.055e-4,0,0,8.450312931679799e-4,438,0.0011283497884344146,8,7.844792438945969e-5,71,0.0021813212324026947,2490,0,0,0.988813732392133
1908,VictoryA,0.0294047,0.013296686970732432,537,0.04675181734411795,18265,0.03677900194426442,227,0.008547074590104557,8849,0.0291403887167449,33790,0.041913203896600595,3726,0.0164495,0,0,0.014078017815091635,5500,0.0516850291639663,319,7.44693695216478e-4,771,0.0217168768471462,25182,0.010472676550653558,931,0.6412651403797253
1910,VictoryA,0.1163161,0.11057987842360495,6476,0.14622190054901363,61417,0.058582677165354334,372,0.18225277256635153,208082,0.03784497009711486,44916,0.16241410027996947,15315,0.003782,0,0,NA,NA,0.004724409448818898,30,1.1386309451863062e-5,13,0.008914413207486758,10580,0.005260032238907271,496,0.9685090771627528
1972,VictoryA,1.35e-5,0,0,0,0,0,0,2.6053099737955107e-5,222,5.508352401720714e-5,209,0,0,0.0284563,0.04024593411524343,25293,0.030542904765189526,8151113,0.014603725923586991,370,0.0410187278365283,349523,0.014784786826762054,56097,0.02954184010731424,21362,4.7418668202797346e-4
1974,VictoryB,0.0080251,0,0,0.0016027818679029827,539000,0.03659447348767737,980,1.4905030842454262e-5,136,0.0049794646492723246,19652,0.004959243222047232,3870,0.1169184,0.030130924000736154,21120,0.07969305020371045,26800000,0.16056758775205376,4300,0.06237086873095499,569099,0.2306706846307805,910367,0.13807712071720651,107750,0.06422983188401157
1828,VictoryA,0.1437191,0.14276485788113696,221,0.2867083046379634,12073,0.12209589718240237,247,0.06609618536937738,2379,0.1239661417475352,32000,0.12068347472816346,1010,0.056853,0,0,NA,NA,0.06376668314384577,129,8.334954018836996e-5,3,0.11287504600306042,29137,0.10753972995578923,900,0.7165458206799451
1852,VictoryA,0.1276614,0.10578478964401294,523,0.2200198721051693,17272,0.13939606741573032,397,0.07991521252122198,7955,0.10391975487078685,35950,0.11693252352666356,1752,0.045368,0,0,0.03582074342054979,2812,0.05266853932584269,150,1.2055091769386094e-4,12,0.10624385731629762,36754,0.07735433491290129,1159,0.7378017839742842
1898,VictoryA,0.1027874,0.06387520992855313,2244,0.12877880276346793,38697,0.1632940348407531,928,0.04168704960391609,25991,0.12105647227863353,128400,0.09803269771236892,6488,0.1234668,5.692977711992258e-4,20,0.039828015388096855,11968,0.17596339961288052,1000,0.0011788688953437085,735,0.39979465654468627,424047,NA,NA,0.45430051685228384
1898,VictoryA,0.0821318,0.07187384361390226,2525,0.12425289192391145,37337,0.11508006334682386,654,0.06931428323969212,43216,0.036599783908540136,38820,0.07567012178537971,5008,0.1234668,5.692977711992258e-4,20,0.039828015388096855,11968,0.17596339961288052,1000,0.0011788688953437085,735,0.39979465654468627,424047,NA,NA,0.39947645557897765
1864,VictoryA,0.0567315,0.09434945788156797,905,0.019777888916082304,5576,0.0375886524822695,212,0.1246262969693417,21260,0.024501476705464383,19255,0.039545188529387175,946,0.0051885,0.001042535446205171,10,0.0012130627706779318,342,0.0047872340425531915,27,0.015030189342868866,2564,0.002954683402237772,2322,0.0061031686313853355,146,0.9162063953488372
1914,VictoryA,0.025675,0.015543422624125575,911,0.011793593702315633,87453,0.04884282266079795,344,0.00878920871192256,10508,0.02943113205303672,35890,0.03964966611826188,4097,1.837e-4,0,0,2.2426613526066455e-4,1663,2.839698991906858e-4,2,0,0,5.937068711729893e-4,724,0,0,0.9928960079199651
1931,VictoryB,0.0050696,0,0,NA,NA,0.016852039096730706,100,6.508073590692934e-7,1,0.008495209303182974,11982,0,0,0.0328862,0.020876857655094755,1409,0.04410608803441719,298244,0.05291540276373441,314,0.008789153384230808,13505,0.029246151206501224,41250,0.0413836877181847,7172,0.1335658845288467
1831,VictoryA,0.2989098,0.3715170278637771,600,0.15558157416468615,8903,0.0589622641509434,150,0.8021386220645729,30981,0.08764475820069506,24135,0.31761426978818286,2849,0.14995,0.1393188854489164,225,0.31759401649657487,18174,0.14661949685534592,373,0.06061155270175802,2341,0.11827593845438732,32570,0.11727982162764772,1052,0.6659313219851721
1939,VictoryA,0.1381359,0.1311333432880394,17564,0.18041270789657488,5984123,0.15710898392904188,1789,0.09192632900200434,181115,0.11084795447238287,170315,0.15738604030093517,35124,0.0010905,1.4932059130954158e-5,2,2.542126812874534e-4,8432,0.002546763853517169,29,6.796198798204667e-4,1339,0.001295173234301394,1990,0.001752019751670244,391,0.9921674337625623
1940,VictoryA,0.1373449,0.13272226650242736,18317,0.12321444772926889,6145214,0.1889168765743073,4200,0.09862600044953043,201846,0.12713971828107168,194077,0.15345012125892507,33978,8.149e-4,0,0,1.973167053423583e-4,9841,0.0014843468873695575,33,8.111092652131849e-4,1660,0.0018860310543300101,2879,5.103262023149842e-4,113,0.9941017575300485
1940,VictoryA,0.1373449,0.13272226650242736,18317,0.12321444772926889,6145214,0.1889168765743073,4200,0.09862600044953043,201846,0.12713971828107168,194077,0.15345012125892507,33978,4.908e-4,0,0,9.688388580573879e-5,4832,8.096437567470313e-4,18,3.2248922592813375e-4,660,7.494336666042139e-4,1144,9.664584716407665e-4,214,0.9964392388909403
1866,VictoryA,0.0658419,0.10198329853862213,977,0.0398023850950609,6268,0.05030559473436765,214,0.1252442308001135,23397,0.03097750561214361,24342,0.04673842667529945,1155,0.1093204,0.1315240083507307,1260,0.15355795730197233,24182,0.1076633756464504,458,0.10772384923799991,20124,0.048460414662329664,38080,0.10699255422466818,2644,0.3758908166882942
1920,VictoryB,0.0408321,0.011666782270930152,841,0.07242124265791347,449471,0.027207255268071485,306,0.02199729573111841,31317,0.044160790245720186,55936,0.06753936303062588,7734,0.1032007,0.0026912672539363253,194,0.1906801139866285,1183426,0.2711834266915622,3050,0.009175549194865401,13063,0.11027171012533908,139675,0.035201858336753676,4031,0.28349167689581817
1949,VictoryA,5.342e-4,0,0,NA,NA,0.001116348300669809,18,4.3310423562949317e-7,1,0.001554013713447838,3277,0,0,0.0707876,0.10925293475104739,15803,0.06772451039156521,3137333,0.04775489952865294,770,0.10270157429058609,237129,0.023864567017256335,50324,0.07342695363775467,18907,0.007489996046089694
1956,VictoryA,0.1701965,0.17413349829613922,48698,0.2761650437645075,26749408,0.24562924432885422,5100,0.13472526200521923,467891,0.07697390741140549,199658,0.11355231499328698,42711,0.0050237,0.005059733461107992,1415,0.0021957413602512422,212680,0.010354958339353657,215,0.0038615841910872297,13411,0.0038209758504765138,9911,0.0048493227165778245,1824,0.9713292188914292
1940,VictoryA,0.0033143,0,0,2.1081067370892748e-4,10514,NA,NA,1.9544801571402047e-6,4,0.010162556354922352,15513,0.006196173005098746,1372,0.0758349,0.03197594377219042,4413,0.11444332819005282,5707762,0.22490104354084203,5000,0.027827399857322948,56951,0.02685907371571046,41000,0.029002786471387862,6422,0.04187408084983803
1942,VictoryA,0.0935872,0.08830007252021164,13150,0.14312099112110044,13478623,0.1044362292051756,3390,0.10638757505172788,224075,0.03274730984909174,48400,0.0865311704805013,18601,0.0052328,0,0,2.1326993912266132e-4,20085,NA,NA,8.01912816076619e-4,1689,0.011839776343992898,17499,0.01330926717621172,2861,0.9470471564460636
1975,VictoryA,0.0280552,0.03121689670062036,20098,0.029847192899581546,11475228,0.013131579940379608,348,0.037330430483068514,342314,0.013930854143763858,56226,0.04287451040047294,34667,1.42e-5,0,0,0,0,0,0,3.1189209667608087e-5,286,5.4012844650882525e-5,218,0,0,0.9994941110248171
1960,VictoryA,0.0068123,0.005606300303698657,1942,0.003971642083003251,458355,0.007682132682132682,151,0.01162106454690047,47061,0.003943217665615142,11480,0.008049409674277213,3760,0.0127582,0,0,0.0033457351021180053,386121,0.016076516076516077,316,0.004818713022847278,19514,0.03304127875663615,96194,0.019267204007578434,9000,0.3480902378580006
1951,VictoryB,0.0146574,0,0,0.004057298816571291,288714,0.020561324149275213,400,0.005415642849791591,13471,0.03707457784586176,80689,0.020835453342830976,5733,0.0076385,0.0029833546045439615,554,0.003914899733366746,278581,0.01120592166135499,218,0.011206774558740288,27876,0.004716051345411706,10264,0.011804212882873715,3248,0.6574033790966052
1931,VictoryA,3.353e-4,0,0,2.3942730290541113e-4,1619,5.055611729019212e-4,3,0,0,6.380978445054813e-4,900,6.289489628112288e-4,109,7.052e-4,0,0,4.841784988958098e-4,3274,0.0011796427367711494,7,1.95242207720788e-6,3,0.0017228641801647995,2430,8.424453997288019e-4,146,0.32224891878904377
